Zipcode,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
10473,56183,47.06869897150986,52.93130102849014,55.37692307692308,5.953846153846154,35.253846153846155,0.12307692307692308,1.7307692307692308,65.46130415482752,44687.166666666664,8219.25,22393.0,3057.153846153846,24.138461538461538,34.42307692307692,30.292307692307695,31.038461538461533,21.215384615384615,5.6923076923076925,11.753846153846153,32.07692307692308,5.846153846153848,55.42307692307692,5.199999999999999,0.5384615384615384,0.9153846153846155,43.775,1656.2307692307693,72.4,24.146153846153844,3.3615384615384616,0.0923076923076923,10.984615384615383
10455,67003,48.7892510735799,51.210748926420095,69.05698838867774,4.323879275039901,24.774629032620073,0.11943368562208455,0.943602261139804,53.320113666390924,24131.520342199812,7411.977787578677,13212.887917313183,2777.1537941930383,40.411863350898,44.55579088353114,15.25277417602055,38.64327741561073,25.472834597569655,5.944859934051461,14.690733925232472,12.488544483492698,1.3473454732685846,68.73334195714261,11.319532007590388,2.1049254007772706,4.015795276912568,40.66992940299848,1552.2950746140964,85.50036335016172,7.822892090103958,6.619865902556472,0.042658992883391894,13.251778865712474
10454,44526,47.54259598788282,52.45740401211717,71.65104593930987,0.9560090237878652,26.127563576700325,0.3840135356817981,0.4551271534006496,50.88018909176937,19112.04481138246,4692.402789190694,10649.168478274582,2167.3166529919044,49.91114643138818,61.95205086124505,14.93285479902362,42.56472518451137,23.92668170631311,5.69415504513478,12.867360541473355,8.435162018140316,1.9599774405303365,73.16252050854332,13.259762100033365,0.8719954881060673,2.3390278917341307,41.984013535681804,1587.4213494648868,81.1377050861533,11.522600492222322,7.225912633274208,0.1137817883501624,14.431203855597506
10472,78311,48.720362777626676,51.279637222373324,63.39333333333334,2.953333333333333,24.186666666666664,0.23999999999999996,5.746666666666667,50.84570735027346,30509.533333333333,6903.933333333333,14986.666666666666,2340.133333333333,34.733333333333334,49.393333333333324,16.62666666666667,32.2,26.946666666666673,12.926666666666666,11.286666666666667,19.639999999999997,4.26,65.20666666666666,5.713333333333334,1.8999999999999997,3.2666666666666666,43.29333333333333,1790.2666666666667,83.27333333333334,10.993333333333336,5.486666666666666,0.2533333333333333,12.953333333333335
10453,75847,42.426247554944304,51.033473718172466,67.82258361955721,1.3389132646489799,28.49398766354979,0.04331680025437144,1.5356320743604512,46.68965151143863,24914.65897260433,5305.115000578533,12862.243323210341,2003.0872758362693,42.40224468977997,56.878875746417805,16.36311522321453,40.157465343969115,22.690770062385017,8.390579295391657,12.419063970498993,14.761325193896774,5.357344524926516,65.60032748329941,8.306031412896214,2.5702816991235906,3.406578277994454,43.06760778334263,1668.8052774041032,85.14570456539133,9.764215312377964,4.984760905635227,0.09832125144236861,13.379950400721127
10451,18537,43.83099784301689,56.16900215698312,45.74384235992952,1.9545038705040538,48.145320201240736,1.1828993668946064,0.8639690359675714,70.76679550198885,42330.42364765936,8026.357495227916,24415.210065646315,3763.613300846598,19.975897251963357,17.16157634574553,27.01006333801903,34.75327234523793,23.86291343895665,6.132828992844557,8.240921884941843,19.30914848910821,1.8351161151216082,65.4819845179838,8.226565798568913,0.38779028780402014,4.795883179901306,39.22336382738104,1409.2139338145932,67.96140041749032,28.301196345111023,3.691907107902714,0.0,11.52244897847022
10460,52622,46.16965643203366,53.830343567966345,70.75993251271898,1.4028800484618784,25.559727367721926,0.07954394465392517,1.342786991255556,52.559879001952375,23822.782637215918,5049.7706574976855,12754.78919875192,2458.61735384188,44.25516163388817,57.16903966212988,17.182722347895858,41.09398562882344,23.561790200548966,5.048249649202472,13.109838686435912,17.909356184680185,3.785307921141797,66.5812958511792,7.0338912019741215,1.2990811502415642,3.3726268141700135,43.272023615777584,1423.5233514635843,77.77247956920739,16.14829044721425,5.821321357077545,0.2349609026481573,22.672562846007654
10452,82820,47.68272785044564,52.31727214955438,67.36893130677002,1.4306522041388663,28.752363693085194,0.06323238775576279,1.1151046269191927,47.46893160155487,24282.026848716618,6251.202878989116,13437.254325449368,2434.804429198697,41.2284163060546,53.08248137831276,15.411671823568453,38.56103258255297,25.343844160975028,6.648740906309871,14.042520727054896,15.35207875353386,3.5786455683556997,67.04004197164161,8.118901349904396,2.1073100470097224,3.7870417311111266,39.358036039129715,1777.668665914898,83.08821882544113,11.699298292361968,4.988097520284687,0.2173968448059031,14.16766659816979
10456,103706,42.70198953345451,50.794657023463316,58.775045353958234,1.469860478966329,36.960425879978274,0.6516811171130102,0.7348879623926732,48.26687792856809,24214.709420495637,6364.660441300253,12532.829647595801,2342.711724759669,43.17662386639753,55.54188797863856,16.61204745987121,42.52980717823795,22.056495643802265,5.3602922374065445,13.431462403939348,14.307192391130148,3.8488500642070322,67.79554867159798,7.800243179241134,2.7155276532800654,3.5686191399295897,41.94946086343707,1656.9540191872575,79.41239844539642,13.245074494806598,7.199494019807143,0.14893925948659692,16.513529215891488
10459,45507,44.978115822050086,55.021884177949914,73.16270284466712,1.4897245959808927,22.48123917012253,0.2620384979273638,1.456444843946323,55.37465467958016,21613.018461121148,5720.307288276868,12022.151642107452,2204.4646260360673,44.51662676175824,52.40050619276216,19.6277078326006,35.73945064711162,26.462712508409385,6.7272765451461884,11.425232335323509,13.99175546390688,3.2640135369286662,69.83018711011395,8.610884353441309,1.3586160854838962,2.886579989733177,43.21355651367035,1100.1416428512007,83.78928716345435,11.798318716076274,4.186627171267917,0.20909683254092437,12.126874500990857
