Zipcode,Men,Hispanic,White,Black,Native,Asian,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Covid,KDE,Density
11201,49.282593989966834,11.431500252537804,60.82366411003717,12.870247257994661,0.26706907073544306,10.816883284536992,75.83960054780863,105542.73026442688,20142.141396863917,69296.6945016901,10428.161600038524,12.971551137690106,10.644610105026944,69.699286237306,9.166283920089668,17.504375936277444,2.0992224454700827,1.5534712780102795,5.649688707240357,1.666107221873978,69.09231727640295,11.113381144723089,4.079198433155635,8.408414837331811,32.74503201839469,0.00010979549810009233,81.27428672669289,10.292244612051793,8.384572747986779,0.05341381414708861,7.337613101787545,1.14,3.795080434565577,0.0028241932025059435
11220,50.935681850489026,43.02117696244242,16.114339439674236,2.1224895578991854,0.4486009123610024,37.192442208532476,43.00502456228352,41094.390834489386,10400.577761704131,17606.928913233824,2976.336137512422,31.321826927784986,43.37473539274532,20.40557409882928,36.788187448433966,20.225444091721357,9.542543097313526,13.033386754081778,13.664847648427713,6.7078546446113645,60.72762601883711,15.376895888678689,1.7556235587031532,1.7476800790119509,43.01692006104559,9.476178340147895e-05,86.25027381862274,8.05854033265036,5.6198398115259875,0.05738109025910455,8.880138714236498,2.81,14.080546607968902,0.005644841196561871
11202,55.42544886807183,17.6,58.7,10.7,0.0,11.7,82.39656518345045,111500.0,14023.0,45902.0,6941.0,35.0,4.2,78.0,6.5,12.1,1.5,1.9,7.8,0.0,65.5,18.9,1.6000000000000003,6.1,32.2,,70.2,23.2,6.6,0.0,3.3,,,
11205,46.04282312752758,24.282724011223305,31.335408841125048,32.68836010739251,0.07971530713898788,8.227996308103528,67.79083934108986,58019.674400517404,10700.069136779664,33505.95130977186,6262.102715867742,28.689331993558785,34.369598015024536,46.61965214250385,20.55150360471116,22.25980460850334,3.776809270391613,6.792230373890044,10.594783345016834,2.9709230517537484,66.29859298410587,9.573050700003073,4.28354505795588,6.295138426227572,38.42075847905804,0.00014607346905021,75.7927131778812,15.908295254416766,8.276342859602853,0.012094068132915348,13.224427625976595,1.45,18.095567792632693,0.004483062263907419
11217,45.6648960322069,26.78637522377434,46.42978588092981,16.913163588982144,0.23496010353694186,6.723853142192349,75.00397458963977,78992.0867075576,13333.771964130772,48809.58202410751,7134.410351362445,15.457120908946571,18.05745420554283,61.223416326521225,13.114652535588933,18.845268115876745,2.334398279490947,4.4502045351113395,5.115793058616255,1.4021078968048493,73.2278222610073,8.910933932679677,3.4974029388157564,7.844049660527049,35.54307917379667,0.0001918529697894826,77.95306409526727,13.62021846429647,8.44372398029681,0.0,8.016914006395691,1.48,1.7851658774397356,0.0031010838969117325
11243,45.612903225806456,11.7,34.7,41.9,0.0,6.1,74.96774193548387,61524.99999999999,5690.0,49467.0,7032.999999999999,6.6,2.1,70.4,8.1,16.4,3.7,1.4,10.0,2.8,69.3,9.3,2.2,6.5,36.6,,73.8,17.1,9.1,0.0,10.3,,,
11209,47.16106980372451,14.646417680542136,68.658531061814,1.6060648600844771,0.10158254306451736,13.220644834311399,71.22733489555532,65555.68941177416,13983.894460754167,40280.84079282815,6651.801014203436,13.752510933611262,15.140755546129546,50.6029379498998,14.797999090597436,23.09632120171803,5.124070756596008,6.392542771553904,25.62898017988605,6.487199108431245,54.20405878846904,8.418485405391703,1.259958107030624,3.9863429988386265,42.06284954087544,5.666325977482234e-05,77.77310753942537,17.063698536719038,5.108882370455832,0.055487081460656715,8.324499772574223,2.36,0.8662607581623084,0.002735956759046749
11231,47.850808906579246,21.44626074639966,60.63324275122879,9.536574390734506,0.0,4.351911797763168,73.5635168144988,90100.38762395472,13641.0796663621,53754.860597129904,9392.577522610169,14.701443673561393,16.010202558872443,61.728130347575465,12.735423114822225,17.828109348207164,2.6678287100322766,5.046326992322944,9.315228385871704,2.755609012102365,62.34116178632062,11.769706898550913,6.424484865293977,7.376552625593324,38.97226957247507,0.006080916993737147,77.17775548159919,11.606406198527493,11.17008666664527,0.03431373992103003,9.521460414420721,1.3,0.014174221936480014,0.11113044489483394
11232,47.29661787421865,63.41565392309638,17.64915022956607,1.4280717189558911,0.0,15.305431463555314,43.77486204339737,44029.45919854133,10542.944580444624,18988.734530186477,2588.1920797759267,25.654850174187516,36.55467877126258,23.905596588070807,25.846737554890083,23.148417897944864,10.635603423848297,16.48506312884095,9.06375444663019,3.847356975837817,67.50335883048723,14.014300190774385,3.080734963874107,2.5151489920202392,41.3989696854512,6.791142014456343e-05,83.93651648087678,7.0419052915264695,8.91757098917857,0.08258864482317578,8.597054236537252,1.48,4.898704905175329,0.001029703189444288
11219,50.527285646494676,11.3907717865539,58.017776526006365,0.33287789207414203,0.15206185735771202,29.49524721625053,46.2054519738191,37963.60612696138,9414.21054942346,15296.517256628753,2763.9182211457373,34.851378634903185,44.86462136340104,27.62034982456259,26.82299857709453,27.672862305767755,6.9629380417305775,10.912950082958051,18.965250754211247,7.651172080009185,44.184621610604204,22.519614410372142,2.641575693281608,4.0247041350023345,39.585437077495826,8.066184234300473e-05,85.07446568435489,7.60340416439506,7.108317150231872,0.2235326530575416,6.362544630287089,4.0,136.8253132183065,0.0040041121436333324
11215,48.69467520698151,18.76407983754392,64.8495745168193,4.384992359134096,0.08216150240928705,7.647760134958579,73.05343477713058,103138.50551557294,21066.723446923654,59351.82138787128,9053.197061755627,8.606362192835231,8.6248773065473,70.30869352249971,8.796837517958133,15.42169219590856,1.9588581948092643,3.5158318431062328,9.298190373694489,2.44772934364724,67.34780289769309,7.756116497437373,3.787595246052065,9.350939333631406,38.54522691948097,8.657457973539129e-05,77.54442501066269,12.59753598512051,9.805720618917276,0.06394469314388714,5.39498862462334,1.39,4.731461190305243,0.0027212925898585528
